No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
274,1,4,2,2,1,0,0,0,1,1,1,2,2,1,0,0,1,1,2,1,1,1,0,0,0,0
309,1,3,2,2,1,0,1,0,1,1,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,1
6,1,3,2,2,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,2
247,1,3,2,2,1,1,2,0,1,1,1,1,0,0,0,2,1,0,0,0,1,1,0,0,1,2
45,1,3,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
152,1,3,2,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,2,0,0,0,0
159,1,3,2,1,1,0,0,0,1,1,1,1,1,0,3,0,1,0,1,1,0,1,0,0,1,0
79,1,3,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
334,1,3,2,2,1,0,0,0,1,1,1,1,1,1,2,0,2,1,1,0,0,1,0,0,0,0
92,1,4,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1
434,1,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
275,1,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0
18,1,3,2,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1
310,1,3,2,2,1,1,2,0,1,1,3,0,0,0,1,2,1,1,1,0,3,1,1,0,1,2
56,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
235,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59,1,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0
20,1,3,2,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
342,1,3,2,2,1,2,0,0,0,0,0,0,1,1,3,3,0,1,1,0,0,1,0,0,0,0
